Latitude,Longitude,Time,SMCI
36.20000076,103.3000031,2019-06-30 00:00:00,313
36.20000076,103.3000031,2019-07-01 00:00:00,297
36.20000076,103.3000031,2019-07-02 00:00:00,294
36.20000076,103.3000031,2019-07-03 00:00:00,293
36.20000076,103.3000031,2019-07-04 00:00:00,310
36.20000076,103.3000031,2019-07-05 00:00:00,286
36.20000076,103.3000031,2019-07-06 00:00:00,272
36.20000076,103.3000031,2019-07-07 00:00:00,270
36.20000076,103.3000031,2019-07-08 00:00:00,312
36.20000076,103.3000031,2019-07-09 00:00:00,275
36.20000076,103.3000031,2019-07-10 00:00:00,291
36.20000076,103.3000031,2019-07-11 00:00:00,270
36.20000076,103.3000031,2019-07-12 00:00:00,269
36.20000076,103.3000031,2019-07-13 00:00:00,266
36.20000076,103.3000031,2019-07-14 00:00:00,266
36.20000076,103.3000031,2019-07-15 00:00:00,259
36.20000076,103.3000031,2019-07-16 00:00:00,259
36.20000076,103.3000031,2019-07-17 00:00:00,262
36.20000076,103.3000031,2019-07-18 00:00:00,239
36.20000076,103.3000031,2019-07-19 00:00:00,301
36.20000076,103.3000031,2019-07-20 00:00:00,296
36.20000076,103.3000031,2019-07-21 00:00:00,270
36.20000076,103.3000031,2019-07-22 00:00:00,291
36.20000076,103.3000031,2019-07-23 00:00:00,269
36.20000076,103.3000031,2019-07-24 00:00:00,263
36.20000076,103.3000031,2019-07-25 00:00:00,266
36.20000076,103.3000031,2019-07-26 00:00:00,266
36.20000076,103.3000031,2019-07-27 00:00:00,268
36.20000076,103.3000031,2019-07-28 00:00:00,237
36.20000076,103.3000031,2019-07-29 00:00:00,316
36.20000076,103.3000031,2019-07-30 00:00:00,271
36.20000076,103.3000031,2019-07-31 00:00:00,271
36.20000076,103.3000031,2019-08-01 00:00:00,267
36.20000076,103.3000031,2019-08-02 00:00:00,267
36.20000076,103.3000031,2019-08-03 00:00:00,270
36.20000076,103.3000031,2019-08-04 00:00:00,267
36.20000076,103.3000031,2019-08-05 00:00:00,267
36.20000076,103.3000031,2019-08-06 00:00:00,268
